HN120021220112001250000000000000000000コマカブト　　　　　　　　　　　　　ｺﾏｶﾌﾞﾄ                                  Koma Kabuto                                                                     1965110400000静内町　　　　　　　1110049212101389
HN120021220112001750000000000000000000ケンポウ　　　　　　　　　　　　　　ｹﾝﾎﾟｳ                                   Kempo                                                                           1967110400000浦河町　　　　　　　1110026312103910
HN120021220112001850000000000000000000アベリー　　　　　　　　　　　　　　ｱﾍﾞﾘｰ                                   Abery                                                                           1970110110000千葉県　　　　　　　1130012512107595
HN120021220112002050000000000000000000タイセフト　　　　　　　　　　　　　ﾀｲｾﾌﾄ                                   Tai Theft                                                                       1967110100000静内町　　　　　　　1110053312100581
HN120021220112002150000000000000000000タイテエム　　　　　　　　　　　　　ﾀｲﾃｴﾑ                                   Tai Tehm                                                                        1969110310000浦河町　　　　　　　1140046812106744
HN120021220112002350000000000000000000ベルワイド　　　　　　　　　　　　　ﾍﾞﾙﾜｲﾄﾞ                                 Bell Wide                                                                       1968110300000浦河町　　　　　　　1110072812105152
HN120021220112002450000000000000000000ゼンマツ　　　　　　　　　　　　　　ｾﾞﾝﾏﾂ                                   Zemmatsu                                                                        1968110700000青森県　　　　　　　1110045312103301
HN120021220112002550000000000000000000グロリアスオー　　　　　　　　　　　ｸﾞﾛﾘｱｽｵｰ                                Glorious O                                                                      1967110400000浦河町　　　　　　　1110057512101824
HN120021220112002650000000000000000000デリーポルツクス　　　　　　　　　　ﾃﾞﾘｰﾎﾟﾙﾂｸｽ                              Derry Pollux                                                                    1971110600000静内町　　　　　　　1110068012106864
HN120021220112003150000000000000000000ナニワライト　　　　　　　　　　　　ﾅﾆﾜﾗｲﾄ                                  Naniwa Light                                                                    1971110300000浦河町　　　　　　　1110079912108372
HN120021220112003250000000000000000000トルーエクスプレス　　　　　　　　　ﾄﾙｰｴｸｽﾌﾟﾚｽ                              True Express                                                                    1969110300000静内町　　　　　　　1110069712101405
HN120021220112003550000000000000000000クフラン　　　　　　　　　　　　　　ｸﾌﾗﾝ                                    Cuchulain                                                                       1972110190000米　　　　　　　　　1130014300000000
HN120021220112003650000000000000000000インターグツド　　　　　　　　　　　ｲﾝﾀｰｸﾞﾂﾄﾞ                               Inter Good                                                                      1971110100000浦河町　　　　　　　1110053312102715
HN120021220112003750000000000000000000ホワイトフオンテン　　　　　　　　　ﾎﾜｲﾄﾌｵﾝﾃﾝ                               White Fontaine                                                                  1970110700000門別町　　　　　　　1110089212105889
HN120021220112003850000000000000000000マサノヒカリ　　　　　　　　　　　　ﾏｻﾉﾋｶﾘ                                  Masano Hikari                                                                   1970110400000静内町　　　　　　　1110050012107905
HN120021220112003950000000000000000000ウエスタンリバー　　　　　　　　　　ｳｴｽﾀﾝﾘﾊﾞｰ                               Western River                                                                   1970110410000静内町　　　　　　　1130005912107660
HN120021220112004150000000000000000000マルゼンスキー　　　　　　　　　　　ﾏﾙｾﾞﾝｽｷｰ                                Maruzensky                                                                      1974110310000早来町　　　　　　　1130009612205156
HN120021220112004450000000000000000000ノーザンアンサー　　　　　　　　　　ﾉｰｻﾞﾝｱﾝｻｰ                               Northern Answer                                                                 1966110430000加　　　　　　　　　1130010212301400
HN120021220112004850000000000000000000フエートメーカー　　　　　　　　　　ﾌｴｰﾄﾒｰｶｰ                                Fate Maker                                                                      1972110130000米　　　　　　　　　1130007512300001
HN120021220112004950000000000000000000アグネスチカラ　　　　　　　　　　　ｱｸﾞﾈｽﾁｶﾗ                                Agnes Chikara                                                                   1972110400000様似町　　　　　　　1110057512105596
HN120021220112005050000000000000000000ニゾン　　　　　　　　　　　　　　　ﾆｿﾞﾝ                                    Nizon                                                                           1975110130000米　　　　　　　　　1130009612300006
HN120021220112005150000000000000000000ラインゴールド　　　　　　　　　　　ﾗｲﾝｺﾞｰﾙﾄﾞ                               Rheingold                                                                       1969110490000愛　　　　　　　　　1110101312302042
HN120021220112005250000000000000000000ソルテインゴ　　　　　　　　　　　　ｿﾙﾃｲﾝｺﾞ                                 Sortingo                                                                        1975110390000愛　　　　　　　　　1130053612302431
HN120021220112005350000000000000000000ロングフアスト　　　　　　　　　　　ﾛﾝｸﾞﾌｱｽﾄ                                Long Fast                                                                       1972110600000浦河町　　　　　　　1110092212106146
HN120021220112005450000000000000000000ビンゴガルー　　　　　　　　　　　　ﾋﾞﾝｺﾞｶﾞﾙｰ                               Bingo Garoo                                                                     1976110400000新冠町　　　　　　　1120017212202454
HN120021220112005550000000000000000000デイクタス　　　　　　　　　　　　　ﾃﾞｲｸﾀｽ                                  Dictus                                                                          1967110130000仏　　　　　　　　　1130060212302436
HN120021220112005650000000000000000000コンメモラテイーボ　　　　　　　　　ｺﾝﾒﾓﾗﾃｲｰﾎﾞ                              Conmemorativo                                                                   1975110330000米　　　　　　　　　1130135712302443
HN120021220112005750000000000000000000ウエスタンシーザ　　　　　　　　　　ｳｴｽﾀﾝｼｰｻﾞ                               Western Caesar                                                                  1978110300000静内町　　　　　　　1120028912210784
HN120021220112005850000000000000000000カネミノブ　　　　　　　　　　　　　ｶﾈﾐﾉﾌﾞ                                  Kane Minobu                                                                     1974110300000青森県　　　　　　　1110086612204371
HN120021220112005950000000000000000000オサイチセイダイ　　　　　　　　　　ｵｻｲﾁｾｲﾀﾞｲ                               Osaichi Say Die                                                                 1974110100000鹿児島県　　　　　　1110092312108828
HN120021220112006050000000000000000000スピリツトラーチ　　　　　　　　　　ｽﾋﾟﾘﾂﾄﾗｰﾁ                               Apalachee Flame                                                                 1977110330000米　　　　　　　　　1130000812301778
HN120021220112006150000000000000000000カツラノハイセイコ　　　　　　　　　ｶﾂﾗﾉﾊｲｾｲｺ                               Katsurano Haiseiko                                                              1976110400000浦河町　　　　　　　1120025212201080
HN120021220112006250000000000000000000キヤプテンナムラ　　　　　　　　　　ｷﾔﾌﾟﾃﾝﾅﾑﾗ                               Captain Namura                                                                  1975110300000浦河町　　　　　　　1110070612104855
HN120021220112006350000000000000000000カシマセイカン　　　　　　　　　　　ｶｼﾏｾｲｶﾝ                                 Kashima Seikan                                                                  1976110400000門別町　　　　　　　1120019512204417
HN120021220112006450000000000000000000ロイヤルノーザン２　　　　　　　　　ﾛｲﾔﾙﾉｰｻﾞﾝ2                                                                                                              1978110330000加　　　　　　　　　1130010212302510
HN120021220112006550000000000000000000ノーアテンシヨン　　　　　　　　　　ﾉｰｱﾃﾝｼﾖﾝ                                No Attention                                                                    1978110330000仏　　　　　　　　　1130153612302525
HN120021220112006650000000000000000000オウエンダツドレイ　　　　　　　　　ｵｳｴﾝﾀﾞﾂﾄﾞﾚｲ                             Owen Dudley                                                                     1970110330000英　　　　　　　　　1130009012302577
HN120021220112006750000000000000000000コウゼンゼツト　　　　　　　　　　　ｺｳｾﾞﾝｾﾞﾂﾄ                               Kozen Z                                                                         1977110500000新冠町　　　　　　　1120028212103190
HN120021220112006850000000000000000000ロイヤリスト　　　　　　　　　　　　ﾛｲﾔﾘｽﾄ                                  Royalist                                                                        1977110100000静内町　　　　　　　1120024012209522
HN120021220112006950000000000000000000ダイタクリーガル　　　　　　　　　　ﾀﾞｲﾀｸﾘｰｶﾞﾙ                              Daitaku Regal                                                                   1979110300000浦河町　　　　　　　1120042112104073
HN120021220112007050000000000000000000ビツグデイザイアー　　　　　　　　　ﾋﾞﾂｸﾞﾃﾞｲｻﾞｲｱｰ                           Big Desire                                                                      1978110300000室蘭市　　　　　　　1120028212200535
HN120021220112007150000000000000000000アンバーシヤダイ　　　　　　　　　　ｱﾝﾊﾞｰｼﾔﾀﾞｲ                              Amber Shadai                                                                    1977110300000早来町　　　　　　　1120029112203046
HN120021220112007250000000000000000000タガワテツオー　　　　　　　　　　　ﾀｶﾞﾜﾃﾂｵｰ                                Tagawa Tetsu O                                                                  1977110100000三石町　　　　　　　1120022912203647
HN120021220112007350000000000000000000メイシヨウキング　　　　　　　　　　ﾒｲｼﾖｳｷﾝｸﾞ                               Meisho King                                                                     1979110100000新冠町　　　　　　　1120021512202905
HN120021220112007450000000000000000000トドロキヒホウ　　　　　　　　　　　ﾄﾄﾞﾛｷﾋﾎｳ                                Todoroki Hiho                                                                   1978110400000三石町　　　　　　　1110093612204664
HN120021220112007550000000000000000000ボアドグラース　　　　　　　　　　　ﾎﾞｱﾄﾞｸﾞﾗｰｽ                              Bois de Grace                                                                   1979110330000仏　　　　　　　　　1130016312403887
HN120021220112007650000000000000000000プルラリズム　　　　　　　　　　　　ﾌﾟﾙﾗﾘｽﾞﾑ                                Pluralisme                                                                      1980110330000米　　　　　　　　　1130136912404214
HN120021220112007750000000000000000000ジエネラルボーレガード　　　　　　　ｼﾞｴﾈﾗﾙﾎﾞｰﾚｶﾞｰﾄﾞ                         General Beauregard                                                              1972110430000米　　　　　　　　　1130004112404220
HN120021220112007850000000019791023580ダイシンシラユキ　　　　　　　　　　ﾀﾞｲｼﾝｼﾗﾕｷ                               Daishin Shirayuki                                                               1979110700000青森県　　　　　　　1110086612210700
HN120021220112007950000000019771057170トドロキエイカン　　　　　　　　　　ﾄﾄﾞﾛｷｴｲｶﾝ                               Todoroki Eikan                                                                  1977110300000門別町　　　　　　　1110093612204434
HN120021220112008050000000019771070740キートザボルト　　　　　　　　　　　ｷｰﾄｻﾞﾎﾞﾙﾄ                               Key to the Vault                                                                1977110331979加　　　　　　　　　1130087712302591
HN120021220112008150000000019761022660トウケイホープ　　　　　　　　　　　ﾄｳｹｲﾎｰﾌﾟ                                Tokei Hope                                                                      1976110300000えりも町　　　　　　1120016012208246
HN120021220112008250000000000000000000リーフアーマツドネス　　　　　　　　ﾘｰﾌｱｰﾏﾂﾄﾞﾈｽ                             Reefer Madness                                                                  1980110331985英　　　　　　　　　1130014912404412
HN120021220112008350000000000000000000スタイヴアザント　　　　　　　　　　ｽﾀｲｳﾞｱｻﾞﾝﾄ                              Stuyvesant                                                                      1973110430000独　　　　　　　　　1140093512404482
HN120021220112008450000000019811064210ユーラシア　　　　　　　　　　　　　ﾕｰﾗｼｱ                                   Eurasia                                                                         1981110300000青森県　　　　　　　1120050412202836
HN120021220112008550000000019801052350エリモタイヨー　　　　　　　　　　　ｴﾘﾓﾀｲﾖｰ                                 Erimo Taiyo                                                                     1980110300000えりも町　　　　　　1120047412204887
HN120021220112008650000000019791017910バリシニコフ　　　　　　　　　　　　ﾊﾞﾘｼﾆｺﾌ                                 Baryshnikov                                                                     1979110300000千歳市　　　　　　　1110101312210351
HN120021220112008750000000019791008190エリモローラ　　　　　　　　　　　　ｴﾘﾓﾛｰﾗ                                  Erimo Roller                                                                    1979110300000えりも町　　　　　　1120016012201513
HN120021220112008850000000000000000000スルーズキングダム　　　　　　　　　ｽﾙｰｽﾞｷﾝｸﾞﾀﾞﾑ                            Slew's Kingdom                                                                  1982110431986米　　　　　　　　　1140093612404603
HN120021220112008950000000019781070150レツドボールド　　　　　　　　　　　ﾚﾂﾄﾞﾎﾞｰﾙﾄﾞ                              Red Bold                                                                        1978110131980米　　　　　　　　　1130087812302097
HN120021220112009050000000000000000000ロードザキヤノンズ　　　　　　　　　ﾛｰﾄﾞｻﾞｷﾔﾉﾝｽﾞ                            Load The Cannons                                                                1980110331986米　　　　　　　　　1140111312405046
HN120021220112009150000000019821073070ニシノリフアード　　　　　　　　　　ﾆｼﾉﾘﾌｱｰﾄﾞ                               Nishino Lyphard                                                                 1982110331983米　　　　　　　　　1130115312403823
HN120021220112009250000000000000000000ベルマン　　　　　　　　　　　　　　ﾍﾞﾙﾏﾝ                                   Bellman                                                                         1978110431987仏　　　　　　　　　1140045012405102
HN120021220112009350000000019801019410ギヤロツプダイナ　　　　　　　　　　ｷﾞﾔﾛﾂﾌﾟﾀﾞｲﾅ                             Gallop Dyna                                                                     1980110300000早来町　　　　　　　1120029112213487
HN120021220112009450000000019801005560ペルセポリス　　　　　　　　　　　　ﾍﾟﾙｾﾎﾟﾘｽ                                Persepolis                                                                      1980110100000静内町　　　　　　　1120041412209059
HN120021220112009650000000019771062110トウシヨウハイネス　　　　　　　　　ﾄｳｼﾖｳﾊｲﾈｽ                               Tosho Highness                                                                  1977110100000静内町　　　　　　　1120029212203406
