RAA20090423200904225002051160000猪名川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           猪名川特別（中央交流猪名川特別（猪名川0000E 140003000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001300000002600000013000000078000000520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,9,12,8,6,2,4,(3,10),5,11                                          201,9,7,12,6,8,2,4,10,3,5,11                                            301,12,9,(7,8),6,10,4,2,3,5,11                                          40(1,12),6,10,8,(7,9),4,2,3,5,11                                        0
RAA20090424200904235002061270000サラ系４歳上　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           サラ系４歳上　Ｂ２二サラ系４歳上サラ系0000E 140003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,10,2,3,9,6,7,4,1                                                  205,8,(2,10),3,9,6,7,4,1                                                305,(8,10),(6,9),3,2,4,1,7                                              405,3,6,10,8,(4,9),2,1,7                                                0
RAA20090429200904285003010150000サラ系４歳上　Ｃ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ３二サラ系４歳上サラ系0000  140003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003000000006000000030000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,11,5,10,2,4,1,9,7,3,(6,8)                                          2012,5,11,10,2,4,1,9,7,3,(6,8)                                          3012,5,11,2,10,4,9,3,1,(6,8),7                                          4012,5,11,10,2,4,9,(1,3),6,8,7                                          0
RAA20090429200904285003010550000サラ系４歳上　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２三サラ系４歳上サラ系0000  140003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,2,1,6,10,9,7,4,8,3                                                  205,2,1,6,10,9,7,(4,8),3                                                305,2,6,7,(1,9),3,10,8,4                                                402,5,6,7,9,1,3,10,8,4                                                  0
RAA20090429200904285003010750000サラ系３歳　Ａ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               サラ系３歳　Ａ　　　サラ系３歳　サラ系0000E 120003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000002000000010000000060000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707062020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,7,2,6,5                                                           201,4,2,7,6,5                                                           301,4,7,2,6,5                                                           401,4,2,7,6,5                                                           0
RAA20090430200904295003020560000サラ系３歳　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｃ２一　サラ系３歳　サラ系0000  120003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,11,6,9,12,8,2,4,3,5,1,10                                            207,11,(6,9),12,8,(2,4),5,3,10,1                                        304,7,9,12,8,11,6,1,10,5,3,2                                            404,7,9,12,8,1,11,6,5,10,3,2                                            0
RAA20090430200904295003021060000サラ系４歳上　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｂ１　サラ系４歳上サラ系0000  140003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000550000001100000005500000033000000220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,3,9,10,11,4,7,1,12,8,2                                            205,6,3,9,10,(4,11),7,1,12,8,2                                          305,9,1,6,3,10,11,4,7,12,2,8                                            405,1,9,(3,6),10,11,4,7,2,12,8                                          0
RAA20090403200904025001011070000六甲山特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               六甲山特別（中央交流六甲山特別（六甲山0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000001600000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,1,2,7,3,6,9,8                                                     204,5,1,2,3,7,6,8,9                                                     304,1,2,3,7,5,8,6,9                                                     404,3,1,2,6,7,8,9,5                                                     0
RAA20090409200904085001041160000加古川特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           加古川特別（中央交流加古川特別（加古川0000E 140003000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00013000000026000000130000000780000005200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,3,8,5,7,1,9,4,2,10,11                                              2012,3,5,8,7,1,9,4,2,10,11                                              30(3,12),8,5,(7,9),2,1,10,4,11                                          403,12,8,5,1,7,9,2,10,4,11                                              0
RAA20090416200904155002020960000氷ノ山特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               氷ノ山特別（中央交流氷ノ山特別（氷ノ山0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000001600000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,6,4,7,2,8,10,1,11,9                                               203,5,6,4,7,2,8,10,1,11,9                                               30(6,7),(3,5),4,2,8,10,11,1,9                                           407,6,3,5,4,2,8,10,11,9,1                                               0
RAA20090423200904225002050860000サラ系４歳上　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ１二サラ系４歳上サラ系0000  140003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,11,12,2,(9,10),7,5,(3,8),6,1                                        204,11,12,2,9,10,7,3,5,8,6,1                                            304,11,12,(9,10),7,8,2,5,6,3,1                                          4012,4,11,8,9,(7,10),5,6,2,3,1                                          0
RAA20090501200904305003031070000生駒山特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               生駒山特別（中央交流生駒山特別（生駒山0000E 120003000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000001600000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,12,1,9,10,3,11,6,(5,8),2                                          204,7,1,12,9,10,3,11,6,8,5,2                                            304,7,1,12,9,10,3,11,6,8,5,2                                            40(4,7),1,10,12,9,3,11,6,8,5,2                                          0
RAA20090416200904155002020460000サラ系４歳上　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      サラ系４歳上　Ｃ２三サラ系４歳上サラ系0000  140003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,3,1,(4,10),11,12,2,8,7,6                                          205,9,3,1,10,4,11,12,2,8,7,6                                            305,9,(1,3),10,11,12,4,2,8,6,7                                          405,9,11,10,(1,3),12,6,(2,8),4,7                                        0
RAA20090404200904035001021080000サラ系４歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           サラ系４歳上　Ｃ１　サラ系４歳上サラ系0000E 140003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,3,5,1,10,4,7,6,2                                                  208,9,3,5,1,4,10,7,2,6                                                  309,7,8,5,3,1,(4,10),6,2                                                409,7,5,8,4,1,3,10,6,2                                                  0
RAA20090501200904305003030870000サラ系４歳上　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           サラ系４歳上　Ｂ２　サラ系４歳上サラ系0000E 140003000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000600000001200000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,(3,6),(1,7),2,4                                                   208,5,3,6,1,7,2,4                                                       308,5,7,2,6,3,1,4                                                       408,5,6,2,7,1,3,4                                                       0
