順位,母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
21,ヘクタープロテクター, 13- 10-  6-101/130,10.0%,17.7%,22.3%,73,67,88.9,7.6着,7.0人気,63.2,738,302,0,0.0%,7.7%,4.6%,116.13,12.90,55.80
22,スペシャルウィーク, 13- 10-  5- 84/112,11.6%,20.5%,25.0%,89,104,118.9,7.6着,7.3人気,58.5,768,418,0,0.0%,8.9%,4.5%,116.05,12.89,55.84
23,ヤマニンスキー, 13-  9-  9-100/131,9.9%,16.8%,23.7%,94,58,109.4,7.0着,7.4人気,64.9,950,247,0,0.0%,6.9%,6.9%,115.99,12.89,55.87
24,"Storm Cat", 12- 14- 14- 84/124,9.7%,21.0%,32.3%,86,106,72.6,6.7着,6.2人気,51.3,890,330,0,0.0%,11.3%,11.3%,115.31,12.81,56.20
25,"Sadler's Wells", 12- 13- 13- 90/128,9.4%,19.5%,29.7%,108,117,100.9,7.0着,7.3人気,55.2,1159,396,0,0.0%,10.2%,10.2%,115.83,12.87,55.94
26,モガミ, 12- 11- 15-137/175,6.9%,13.1%,21.7%,97,78,70.0,6.7着,7.1人気,57.3,1424,361,0,0.0%,6.3%,8.6%,115.83,12.87,55.94
27,シヤトーゲイ, 12- 10-  9- 62/ 93,12.9%,23.7%,33.3%,101,66,106.1,5.9着,5.7人気,27.8,786,200,0,0.0%,10.8%,9.7%,115.95,12.88,55.88
28,ダンサーズイメージ, 12-  7-  7- 83/109,11.0%,17.4%,23.9%,124,65,110.7,6.4着,6.7人気,37.1,1131,273,0,0.0%,6.4%,6.4%,116.21,12.91,55.76
29,エルコンドルパサー, 12-  4-  5- 70/ 91,13.2%,17.6%,23.1%,125,58,159.7,7.6着,7.4人気,64.0,950,252,0,0.0%,4.4%,5.5%,115.63,12.85,56.04
30,ダンシングブレーヴ, 11- 15- 10-113/149,7.4%,17.4%,24.2%,60,95,107.4,7.4着,8.2人気,85.1,825,394,0,0.0%,10.1%,6.7%,115.92,12.88,55.90
31,チヤイナロツク, 11- 11- 12- 64/ 98,11.2%,22.4%,34.7%,51,72,98.5,6.1着,6.4人気,27.1,463,222,0,0.0%,11.2%,12.2%,116.32,12.92,55.71
32,ダンスインザダーク, 11- 10-  9-140/170,6.5%,12.4%,17.6%,33,44,74.1,7.9着,7.8人気,82.3,521,251,0,0.0%,5.9%,5.3%,116.17,12.91,55.78
33,フォーティナイナー, 11-  7-  9-122/149,7.4%,12.1%,18.1%,60,53,99.6,7.8着,8.4人気,84.8,823,293,0,0.0%,4.7%,6.0%,115.96,12.88,55.88
34,ナイスダンサー, 11-  5-  4- 55/ 75,14.7%,21.3%,26.7%,253,114,157.5,7.0着,7.4人気,61.1,1731,430,0,0.0%,6.7%,5.3%,116.42,12.94,55.66
35,エルセンタウロ, 11-  3-  6- 35/ 55,20.0%,25.5%,36.4%,115,88,150.9,5.5着,5.8人気,27.9,578,256,0,0.0%,5.5%,10.9%,115.98,12.89,55.87
36,Nijinsky, 10- 14- 11- 76/111,9.0%,21.6%,31.5%,46,58,58.7,6.5着,5.7人気,37.3,516,191,0,0.0%,12.6%,9.9%,116.54,12.95,55.60
37,Alydar, 10- 13-  7- 59/ 89,11.2%,25.8%,33.7%,53,92,83.3,6.1着,5.8人気,29.1,480,276,0,0.0%,14.6%,7.9%,115.23,12.80,56.24
38,ヴエンチア, 10- 12- 15- 89/126,7.9%,17.5%,29.4%,50,72,69.0,6.5着,6.1人気,28.5,639,248,0,0.0%,9.5%,11.9%,116.59,12.95,55.58
39,Woodman, 10-  6-  5- 91/112,8.9%,14.3%,18.8%,102,57,81.4,7.4着,6.7人気,56.6,1144,305,0,0.0%,5.4%,4.5%,115.88,12.88,55.92
40,パーソナリテイ, 10-  3-  4- 43/ 60,16.7%,21.7%,28.3%,92,61,171.3,6.9着,7.0人気,32.5,556,217,0,0.0%,5.0%,6.7%,115.75,12.86,55.98
41,ラシアンルーブル,  9-  9-  9- 62/ 89,10.1%,20.2%,30.3%,38,135,95.0,6.3着,7.1人気,58.7,379,446,0,0.0%,10.1%,10.1%,115.37,12.82,56.17
42,リイフオー,  9-  8-  3- 60/ 80,11.3%,21.3%,25.0%,77,54,81.5,6.2着,5.7人気,37.3,684,216,0,0.0%,10.0%,3.8%,116.87,12.99,55.45
43,ロイヤルスキー,  9-  5- 11- 93/118,7.6%,11.9%,21.2%,151,97,76.3,6.9着,7.2人気,56.4,1984,459,0,0.0%,4.2%,9.3%,116.87,12.99,55.45
44,ティンバーカントリー,  9-  3- 11- 82/105,8.6%,11.4%,21.9%,40,100,92.1,7.5着,7.7人気,71.3,476,457,0,0.0%,2.9%,10.5%,115.92,12.88,55.90
45,ラツキーソブリン,  9-  3-  8- 96/116,7.8%,10.3%,17.2%,56,41,102.4,7.5着,7.7人気,58.2,731,242,0,0.0%,2.6%,6.9%,116.68,12.96,55.54
46,テユーダーペリオツド,  9-  2-  3- 31/ 45,20.0%,24.4%,31.1%,102,63,151.8,5.7着,6.5人気,28.7,510,205,0,0.0%,4.4%,6.7%,116.44,12.94,55.65
47,パーソロン,  8- 11- 20-129/168,4.8%,11.3%,23.2%,34,48,41.7,6.9着,6.7人気,44.8,715,207,0,0.0%,6.5%,11.9%,116.83,12.98,55.47
48,クロフネ,  8- 11- 12- 75/106,7.5%,17.9%,29.2%,25,93,57.4,6.7着,6.6人気,64.9,335,319,0,0.0%,10.4%,11.3%,115.53,12.84,56.09
49,ジェイドロバリー,  8- 10-  9- 89/116,6.9%,15.5%,23.3%,71,84,65.3,7.7着,7.2人気,53.9,1035,364,0,0.0%,8.6%,7.8%,115.85,12.87,55.94
50,アジュディケーティング,  8-  9-  9- 57/ 83,9.6%,20.5%,31.3%,72,102,96.1,6.6着,7.1人気,67.9,754,326,0,0.0%,10.8%,10.8%,115.43,12.83,56.14
51,ハードツービート,  8-  9-  8- 87/112,7.1%,15.2%,22.3%,32,84,72.9,6.4着,7.0人気,48.8,456,376,0,0.0%,8.0%,7.1%,116.63,12.96,55.56
52,アフリート,  8-  8-  9-116/141,5.7%,11.3%,17.7%,40,85,93.2,7.7着,8.8人気,85.8,722,480,0,0.0%,5.7%,6.4%,115.60,12.84,56.06
53,マナード,  8-  7-  6- 24/ 45,17.8%,33.3%,46.7%,139,131,123.6,5.0着,6.2人気,39.6,782,282,0,0.0%,15.6%,13.3%,114.99,12.78,56.35
54,シンザン,  8-  7-  2- 49/ 66,12.1%,22.7%,25.8%,64,56,111.4,6.7着,7.1人気,40.4,530,219,0,0.0%,10.6%,3.0%,117.43,13.05,55.18
55,アグネスタキオン,  8-  6-  7- 81/102,7.8%,13.7%,20.6%,46,43,72.4,7.2着,7.1人気,60.1,598,211,0,0.0%,5.9%,6.9%,115.86,12.87,55.93
56,ダイアトム,  8-  4-  8- 35/ 55,14.5%,21.8%,36.4%,132,83,120.8,6.4着,6.5人気,40.3,908,241,0,0.0%,7.3%,14.5%,116.05,12.89,55.84
57,ステイールハート,  8-  4-  7- 65/ 84,9.5%,14.3%,22.6%,111,73,104.7,6.8着,7.4人気,54.4,1171,324,0,0.0%,4.8%,8.3%,116.33,12.93,55.70
