順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
286,ニチドウタロー,  0-  1-  1-  2/  4,0.0%,25.0%,50.0%,0,57,0.0,4.8着,2.8人気,7.0,,115,0,0.0%,25.0%,25.0%,116.43,12.94,55.66
287,"Smart Strike",  0-  1-  1-  2/  4,0.0%,25.0%,50.0%,0,80,0.0,6.0着,4.0人気,8.2,,160,0,0.0%,25.0%,25.0%,113.78,12.64,56.95
288,トウシヨウゲート,  0-  1-  1-  1/  3,0.0%,33.3%,66.7%,0,450,0.0,4.0着,9.0人気,42.0,,675,0,0.0%,33.3%,33.3%,113.33,12.59,57.18
289,アルカング,  0-  1-  1-  1/  3,0.0%,33.3%,66.7%,0,153,0.0,4.7着,3.7人気,17.3,,460,0,0.0%,33.3%,33.3%,117.83,13.09,54.99
290,ライラリツジ,  0-  1-  1-  0/  2,0.0%,50.0%,100.0%,0,295,0.0,2.5着,6.0人気,28.0,,295,0,0.0%,50.0%,50.0%,114.60,12.73,56.54
291,ミナラ,  0-  1-  1-  0/  2,0.0%,50.0%,100.0%,0,520,0.0,2.5着,5.5人気,20.8,,520,0,0.0%,50.0%,50.0%,114.40,12.71,56.64
292,マルカシェンク,  0-  1-  1-  0/  2,0.0%,50.0%,100.0%,0,160,0.0,2.5着,2.0人気,4.3,,160,0,0.0%,50.0%,50.0%,110.60,12.29,58.59
293,"Wild Again",  0-  1-  1-  0/  2,0.0%,50.0%,100.0%,0,180,0.0,2.5着,3.0人気,5.2,,180,0,0.0%,50.0%,50.0%,113.15,12.57,57.27
294,ジョリーズヘイロー,  0-  1-  0- 10/ 11,0.0%,9.1%,9.1%,0,116,0.0,9.1着,10.0人気,157.5,,1280,0,0.0%,9.1%,0.0%,116.09,12.90,55.82
295,キングオブダービー,  0-  1-  0-  6/  7,0.0%,14.3%,14.3%,0,20,0.0,6.3着,6.6人気,28.0,,140,0,0.0%,14.3%,0.0%,116.74,12.97,55.51
296,ナリタトップロード,  0-  1-  0-  8/  9,0.0%,11.1%,11.1%,0,213,0.0,6.6着,8.7人気,57.9,,1920,0,0.0%,11.1%,0.0%,114.52,12.72,56.58
297,ホツトスパーク,  0-  1-  0-  5/  6,0.0%,16.7%,16.7%,0,30,0.0,5.3着,6.0人気,31.5,,180,0,0.0%,16.7%,0.0%,115.73,12.86,55.99
298,アドマイヤベガ,  0-  1-  0-  9/ 10,0.0%,10.0%,10.0%,0,26,0.0,8.8着,6.3人気,52.2,,260,0,0.0%,10.0%,0.0%,118.11,13.12,54.86
299,クリスタルパレス,  0-  1-  0-  8/  9,0.0%,11.1%,11.1%,0,22,0.0,6.9着,4.8人気,28.9,,200,0,0.0%,11.1%,0.0%,116.44,12.94,55.65
300,オーバーサーブ,  0-  1-  0-  7/  8,0.0%,12.5%,12.5%,0,17,0.0,8.1着,5.1人気,13.2,,140,0,0.0%,12.5%,0.0%,113.00,12.56,57.35
301,リンカーン,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,118,0.0,6.8着,7.4人気,50.4,,590,0,0.0%,20.0%,0.0%,115.16,12.80,56.27
302,ノーザンアンサー,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,24,0.0,7.0着,5.2人気,15.0,,120,0,0.0%,20.0%,0.0%,115.10,12.79,56.30
303,マナード,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,25,0.0,5.3着,3.5人気,18.6,,100,0,0.0%,25.0%,0.0%,115.40,12.82,56.15
304,ベリフア,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,25,0.0,5.8着,4.3人気,16.8,,100,0,0.0%,25.0%,0.0%,113.95,12.66,56.87
305,トウシヨウペガサス,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,57,0.0,6.3着,7.3人気,44.6,,230,0,0.0%,25.0%,0.0%,115.98,12.89,55.87
306,クルセダーキヤツスル,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,25,0.0,5.8着,7.0人気,46.5,,100,0,0.0%,25.0%,0.0%,115.50,12.83,56.10
307,グルームダンサー,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,90,0.0,4.5着,8.8人気,46.6,,360,0,0.0%,25.0%,0.0%,112.50,12.50,57.60
308,ラスカルスズカ,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,106,0.0,5.0着,5.3人気,21.7,,320,0,0.0%,33.3%,0.0%,113.67,12.63,57.01
309,ブラヴオー,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,40,0.0,7.3着,7.0人気,15.7,,120,0,0.0%,33.3%,0.0%,113.67,12.63,57.01
310,ピユウターグレイ,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,126,0.0,7.3着,9.7人気,48.7,,380,0,0.0%,33.3%,0.0%,116.63,12.96,55.56
311,カツラギセンプー,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,130,0.0,3.0着,5.0人気,18.6,,260,0,0.0%,50.0%,0.0%,118.50,13.17,54.68
312,Zensational,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,65,0.0,3.0着,2.5人気,4.9,,130,0,0.0%,50.0%,0.0%,114.00,12.67,56.84
313,シャンハイ,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,36,0.0,6.6着,7.8人気,71.3,,180,0,0.0%,20.0%,0.0%,116.04,12.89,55.84
314,アドマイヤボス,  0-  1-  0-  7/  8,0.0%,12.5%,12.5%,0,17,0.0,8.1着,9.8人気,125.4,,140,0,0.0%,12.5%,0.0%,115.18,12.80,56.26
315,サムライハート,  0-  1-  0-  5/  6,0.0%,16.7%,16.7%,0,121,0.0,8.5着,9.8人気,129.5,,730,0,0.0%,16.7%,0.0%,115.27,12.81,56.22
316,ワカオライデン,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,45,0.0,6.0着,7.8人気,43.2,,180,0,0.0%,25.0%,0.0%,116.43,12.94,55.66
317,ボールドアンドブレーヴ,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,42,0.0,7.0着,8.5人気,52.9,,170,0,0.0%,25.0%,0.0%,114.70,12.74,56.50
318,トウシヨウルチエー,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,172,0.0,5.8着,8.0人気,76.6,,690,0,0.0%,25.0%,0.0%,115.75,12.86,55.98
