順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
280,"Storm Cat", 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,2.0人気,3.8,,,0,0.0%,0.0%,0.0%,71.50,11.92,60.42
281,"Silver Hawk", 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,6.0人気,13.4,,,0,0.0%,0.0%,0.0%,72.10,12.02,59.92
282,"Pleasant Tap", 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,9.0人気,39.8,,,0,0.0%,0.0%,0.0%,72.80,12.13,59.34
283,Niniski, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,2.0人気,2.6,,,0,0.0%,0.0%,0.0%,72.40,12.07,59.67
284,"End Sweep", 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,1.0人気,1.6,,,0,0.0%,0.0%,0.0%,73.30,12.22,58.94
285,Dehere, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,15.0人気,115.4,,,0,0.0%,0.0%,0.0%,72.70,12.12,59.42
286,Daylami, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,6.0人気,14.4,,,0,0.0%,0.0%,0.0%,71.70,11.95,60.25
287,Alydeed, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,5.0着,3.0人気,7.1,,,0,0.0%,0.0%,0.0%,72.20,12.03,59.83
288,スウェプトオーヴァーボード, 0- 0- 0- 8/ 8,0.0%,0.0%,0.0%,0,0,0.0,8.4着,7.0人気,29.0,,,0,0.0%,0.0%,0.0%,71.88,11.98,60.10
289,タイトスポット, 0- 0- 0- 5/ 5,0.0%,0.0%,0.0%,0,0,0.0,9.4着,9.0人気,32.7,,,0,0.0%,0.0%,0.0%,72.76,12.13,59.37
290,サツカーボーイ, 0- 0- 0- 5/ 5,0.0%,0.0%,0.0%,0,0,0.0,8.6着,11.4人気,136.1,,,0,0.0%,0.0%,0.0%,72.70,12.12,59.42
291,プリサイスエンド, 0- 0- 0- 4/ 4,0.0%,0.0%,0.0%,0,0,0.0,11.5着,12.5人気,194.6,,,0,0.0%,0.0%,0.0%,72.05,12.01,59.96
292,トウシヨウボーイ, 0- 0- 0- 4/ 4,0.0%,0.0%,0.0%,0,0,0.0,10.3着,9.8人気,39.6,,,0,0.0%,0.0%,0.0%,72.80,12.13,59.34
293,ターゴワイス, 0- 0- 0- 4/ 4,0.0%,0.0%,0.0%,0,0,0.0,11.5着,8.5人気,24.7,,,0,0.0%,0.0%,0.0%,72.75,12.13,59.38
294,リーチザクラウン, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,8.0着,9.0人気,79.4,,,0,0.0%,0.0%,0.0%,71.93,11.99,60.06
