順位,母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
142,"Southern Halo",  2-  0-  0-  4/  6,33.3%,33.3%,33.3%,266,85,221.4,6.7着,3.3人気,7.0,800,255,0,0.0%,0.0%,0.0%,69.77,11.63,61.92
143,コントライト,  2-  0-  0-  4/  6,33.3%,33.3%,33.3%,121,46,295.0,5.7着,6.5人気,32.8,365,140,0,0.0%,0.0%,0.0%,71.87,11.98,60.11
144,"Top Command",  2-  0-  0-  2/  4,50.0%,50.0%,50.0%,187,120,365.7,3.5着,4.8人気,9.7,375,240,0,0.0%,0.0%,0.0%,70.10,11.68,61.63
145,グルームダンサー,  2-  0-  0- 12/ 14,14.3%,14.3%,14.3%,139,32,151.2,8.8着,6.8人気,33.7,975,225,0,0.0%,0.0%,0.0%,71.57,11.93,60.36
146,ロジンスキー,  2-  0-  0-  3/  5,40.0%,40.0%,40.0%,202,70,231.8,5.2着,3.8人気,7.8,505,175,0,0.0%,0.0%,0.0%,71.24,11.87,60.64
147,タンデイ,  2-  0-  0-  2/  4,50.0%,50.0%,50.0%,585,162,439.9,5.3着,4.3人気,10.2,1170,325,0,0.0%,0.0%,0.0%,70.43,11.74,61.34
148,エルギヤロー,  2-  0-  0-  1/  3,66.7%,66.7%,66.7%,270,110,386.5,4.0着,6.0人気,34.3,405,165,0,0.0%,0.0%,0.0%,70.23,11.71,61.51
149,"Raise a Native",  2-  0-  0-  1/  3,66.7%,66.7%,66.7%,383,103,408.2,4.7着,3.0人気,9.0,575,155,0,0.0%,0.0%,0.0%,71.30,11.88,60.59
150,"Never Bend",  2-  0-  0-  0/  2,100.0%,100.0%,100.0%,215,120,163.7,1.0着,1.0人気,2.2,215,120,0,0.0%,0.0%,0.0%,68.90,11.48,62.70
151,Langfuhr,  2-  0-  0-  0/  2,100.0%,100.0%,100.0%,405,135,404.9,1.0着,2.0人気,4.1,405,135,0,0.0%,0.0%,0.0%,70.30,11.72,61.45
152,"Cox's Ridge",  2-  0-  0-  0/  2,100.0%,100.0%,100.0%,295,130,294.9,1.0着,1.5人気,3.0,295,130,0,0.0%,0.0%,0.0%,69.30,11.55,62.34
153,"Vice Regent",  1-  6-  4- 17/ 28,3.6%,25.0%,39.3%,6,71,19.7,6.6着,4.8人気,29.9,190,183,0,0.0%,21.4%,14.3%,71.31,11.88,60.58
154,ダンサーズイメージ,  1-  5-  2- 31/ 39,2.6%,15.4%,20.5%,5,107,37.9,8.0着,8.4人気,61.5,220,600,0,0.0%,12.8%,5.1%,71.96,11.99,60.03
155,マナード,  1-  5-  1-  9/ 16,6.3%,37.5%,43.8%,13,149,38.5,5.7着,5.9人気,59.0,220,341,0,0.0%,31.3%,6.3%,71.68,11.95,60.27
156,フォーティナイナー,  1-  3-  3- 46/ 53,1.9%,7.5%,13.2%,6,92,22.0,8.2着,8.1人気,70.3,370,701,0,0.0%,5.7%,5.7%,71.09,11.85,60.77
157,フアバージ,  1-  3-  2- 35/ 41,2.4%,9.8%,14.6%,9,41,31.0,7.3着,7.1人気,38.2,370,282,0,0.0%,7.3%,4.9%,71.60,11.93,60.34
158,"Gone West",  1-  3-  2- 25/ 31,3.2%,12.9%,19.4%,11,90,30.7,7.9着,7.3人気,50.7,370,467,0,0.0%,9.7%,6.5%,70.92,11.82,60.91
159,Secretariat,  1-  3-  2- 13/ 19,5.3%,21.1%,31.6%,26,91,39.4,5.6着,5.7人気,38.3,500,288,0,0.0%,15.8%,10.5%,71.46,11.91,60.45
160,バンブーアトラス,  1-  3-  2-  9/ 15,6.7%,26.7%,40.0%,36,89,75.4,4.8着,7.1人気,49.7,550,223,0,0.0%,20.0%,13.3%,71.41,11.90,60.50
161,スリルシヨー,  1-  3-  2- 18/ 24,4.2%,16.7%,25.0%,24,73,45.1,7.0着,6.7人気,43.4,590,352,0,0.0%,12.5%,8.3%,71.42,11.90,60.49
162,"Valid Appeal",  1-  3-  2-  7/ 13,7.7%,30.8%,46.2%,15,130,51.9,7.2着,4.7人気,14.0,200,283,0,0.0%,23.1%,15.4%,71.08,11.85,60.77
163,ロイヤルスキー,  1-  3-  1- 56/ 61,1.6%,6.6%,8.2%,4,51,39.3,10.5着,10.4人気,103.6,290,624,0,0.0%,4.9%,1.6%,71.92,11.99,60.07
164,デイバインギフト,  1-  3-  1- 10/ 15,6.7%,26.7%,33.3%,16,71,54.2,5.7着,5.5人気,28.5,240,268,0,0.0%,20.0%,6.7%,70.69,11.78,61.11
165,ミルフオード,  1-  3-  1-  8/ 13,7.7%,30.8%,38.5%,37,252,115.1,6.4着,7.2人気,37.7,490,656,0,0.0%,23.1%,7.7%,71.42,11.90,60.48
166,"London Bells",  1-  3-  1-  1/  6,16.7%,66.7%,83.3%,93,120,48.2,3.2着,2.3人気,4.5,560,144,0,0.0%,50.0%,16.7%,71.52,11.92,60.41
167,Marauding,  1-  3-  1-  0/  5,20.0%,80.0%,100.0%,30,174,58.9,2.0着,2.4人気,6.5,150,174,0,0.0%,60.0%,20.0%,70.04,11.67,61.68
168,"Storm Cat",  1-  2-  5- 41/ 49,2.0%,6.1%,16.3%,45,86,24.9,8.6着,8.1人気,43.2,2220,532,0,0.0%,4.1%,10.2%,71.19,11.87,60.68
169,アスワン,  1-  2-  4- 26/ 33,3.0%,9.1%,21.2%,4,67,45.9,8.5着,8.4人気,68.4,160,320,0,0.0%,6.1%,12.1%,71.88,11.98,60.10
170,"Northern Dancer",  1-  2-  3- 22/ 28,3.6%,10.7%,21.4%,38,79,56.9,7.4着,8.4人気,54.2,1080,370,0,0.0%,7.1%,10.7%,71.29,11.88,60.60
171,シルバーシヤーク,  1-  2-  2-  7/ 12,8.3%,25.0%,41.7%,50,109,79.7,6.5着,8.1人気,59.7,610,262,0,0.0%,16.7%,16.7%,71.20,11.87,60.67
172,ジヤツジアンジエルーチ,  1-  2-  2-  9/ 14,7.1%,21.4%,35.7%,30,112,101.8,6.9着,8.9人気,70.3,420,314,0,0.0%,14.3%,14.3%,71.21,11.87,60.67
173,サテインゴ,  1-  2-  2-  6/ 11,9.1%,27.3%,45.5%,160,88,65.0,7.2着,6.1人気,36.7,1760,194,0,0.0%,18.2%,18.2%,71.43,11.90,60.48
174,サンシー,  1-  2-  1- 19/ 23,4.3%,13.0%,17.4%,27,34,61.5,7.6着,7.9人気,56.1,640,200,0,0.0%,8.7%,4.3%,71.52,11.92,60.40
175,ネヴアービート,  1-  2-  1- 14/ 18,5.6%,16.7%,22.2%,103,105,58.1,6.2着,6.3人気,17.9,1870,475,0,0.0%,11.1%,5.6%,71.19,11.87,60.68
176,Kenmare,  1-  2-  1-  9/ 13,7.7%,23.1%,30.8%,33,44,32.6,5.4着,4.9人気,16.0,430,145,0,0.0%,15.4%,7.7%,70.48,11.75,61.30
177,ゴールデンフェザント,  1-  2-  1-  7/ 11,9.1%,27.3%,36.4%,19,70,74.8,5.3着,5.8人気,30.5,210,192,0,0.0%,18.2%,9.1%,71.04,11.84,60.81
178,ソーブレスド,  1-  2-  1- 10/ 14,7.1%,21.4%,28.6%,116,114,71.0,8.0着,7.1人気,53.4,1630,400,0,0.0%,14.3%,7.1%,71.36,11.89,60.54
179,キヤタオラ,  1-  2-  1-  5/  9,11.1%,33.3%,44.4%,24,94,66.8,6.4着,5.2人気,20.8,220,212,0,0.0%,22.2%,11.1%,72.22,12.04,59.82
180,Fappiano,  1-  2-  1-  8/ 12,8.3%,25.0%,33.3%,13,60,43.6,6.9着,6.8人気,52.7,160,180,0,0.0%,16.7%,8.3%,70.60,11.77,61.19
181,コリムスキー,  1-  2-  1-  7/ 11,9.1%,27.3%,36.4%,48,90,86.8,7.3着,6.0人気,30.0,530,248,0,0.0%,18.2%,9.1%,70.99,11.83,60.85
182,Bicker,  1-  2-  1-  2/  6,16.7%,50.0%,66.7%,43,110,62.9,4.8着,2.2人気,4.4,260,165,0,0.0%,33.3%,16.7%,70.28,11.71,61.47
183,"Tabasco Cat",  1-  2-  0- 11/ 14,7.1%,21.4%,21.4%,18,37,54.9,9.0着,7.6人気,57.5,260,177,0,0.0%,14.3%,0.0%,70.24,11.71,61.51
184,アジュディケーティング,  1-  2-  0- 19/ 22,4.5%,13.6%,13.6%,9,40,45.2,8.1着,7.5人気,43.6,210,293,0,0.0%,9.1%,0.0%,71.10,11.85,60.76
185,マンハッタンカフェ,  1-  2-  0-  9/ 12,8.3%,25.0%,25.0%,22,39,95.0,6.8着,8.3人気,50.5,270,157,0,0.0%,16.7%,0.0%,71.01,11.83,60.84
186,オジジアン,  1-  2-  0-  8/ 11,9.1%,27.3%,27.3%,85,78,100.1,7.2着,8.4人気,61.9,940,287,0,0.0%,18.2%,0.0%,70.47,11.75,61.30
187,ジムフレンチ,  1-  2-  0-  7/ 10,10.0%,30.0%,30.0%,13,43,72.8,7.5着,7.9人気,64.8,130,143,0,0.0%,20.0%,0.0%,71.72,11.95,60.23
188,Unbridled,  1-  2-  0-  5/  8,12.5%,37.5%,37.5%,116,73,58.6,7.8着,4.6人気,13.5,930,197,0,0.0%,25.0%,0.0%,70.79,11.80,61.03
189,ヤマニン,  1-  1-  3- 15/ 20,5.0%,10.0%,25.0%,17,116,64.4,6.9着,7.9人気,61.4,340,582,0,0.0%,5.0%,15.0%,71.82,11.97,60.15
190,バブルガムフェロー,  1-  1-  3- 22/ 27,3.7%,7.4%,18.5%,12,29,37.0,8.5着,7.2人気,53.4,340,200,0,0.0%,3.7%,11.1%,71.10,11.85,60.76
191,エブロス,  1-  1-  3- 15/ 20,5.0%,10.0%,25.0%,29,67,68.8,8.1着,8.0人気,47.4,590,268,0,0.0%,5.0%,15.0%,71.13,11.85,60.74
192,ロムルス,  1-  1-  3-  2/  7,14.3%,28.6%,71.4%,120,137,153.2,4.7着,6.1人気,32.5,840,192,0,0.0%,14.3%,42.9%,71.61,11.94,60.32
193,ロードリージ,  1-  1-  2- 11/ 15,6.7%,13.3%,26.7%,92,63,64.2,6.1着,6.4人気,31.3,1380,317,0,0.0%,6.7%,13.3%,72.14,12.02,59.88
194,"Young Generation",  1-  1-  2- 11/ 15,6.7%,13.3%,26.7%,43,98,101.5,6.5着,7.3人気,27.4,650,370,0,0.0%,6.7%,13.3%,70.58,11.76,61.21
195,スーパークリーク,  1-  1-  2-  6/ 10,10.0%,20.0%,40.0%,18,71,84.0,7.5着,7.8人気,75.5,180,178,0,0.0%,10.0%,20.0%,70.26,11.71,61.49
196,ミルグロリー,  1-  1-  2-  2/  6,16.7%,33.3%,66.7%,56,168,81.2,3.7着,3.3人気,10.9,340,252,0,0.0%,16.7%,33.3%,70.50,11.75,61.28
197,Topsider,  1-  1-  2-  8/ 12,8.3%,16.7%,33.3%,16,76,76.2,5.5着,6.7人気,37.6,200,230,0,0.0%,8.3%,16.7%,70.73,11.79,61.08
198,シャンハイ,  1-  1-  2-  2/  6,16.7%,33.3%,66.7%,145,225,129.5,3.8着,5.0人気,25.9,870,338,0,0.0%,16.7%,33.3%,70.58,11.76,61.20
199,"Sharpen Up",  1-  1-  2-  5/  9,11.1%,22.2%,44.4%,114,161,102.3,6.6着,5.3人気,21.9,1030,362,0,0.0%,11.1%,22.2%,70.92,11.82,60.91
200,トライバルチーフ,  1-  1-  2-  4/  8,12.5%,25.0%,50.0%,28,136,100.5,5.3着,6.5人気,22.2,230,272,0,0.0%,12.5%,25.0%,71.46,11.91,60.45
201,ナイスダンサー,  1-  1-  1- 23/ 26,3.8%,7.7%,11.5%,145,31,64.1,7.5着,8.1人気,68.1,3790,270,0,0.0%,3.8%,3.8%,71.36,11.89,60.54
202,シヤトーゲイ,  1-  1-  1- 16/ 19,5.3%,10.5%,15.8%,15,26,65.5,6.9着,6.7人気,64.5,290,170,0,0.0%,5.3%,5.3%,71.95,11.99,60.04
203,クリスタルパレス,  1-  1-  1- 11/ 14,7.1%,14.3%,21.4%,52,52,74.9,7.0着,7.1人気,44.8,730,247,0,0.0%,7.1%,7.1%,71.55,11.93,60.38
204,インデエアンキング,  1-  1-  1- 15/ 18,5.6%,11.1%,16.7%,30,131,137.0,7.5着,9.5人気,50.7,550,787,0,0.0%,5.6%,5.6%,70.55,11.76,61.23
205,アサティス,  1-  1-  1-  8/ 11,9.1%,18.2%,27.3%,132,79,103.4,6.6着,6.5人気,39.7,1460,290,0,0.0%,9.1%,9.1%,72.04,12.01,59.97
206,Halo,  1-  1-  1- 20/ 23,4.3%,8.7%,13.0%,17,25,61.2,9.5着,8.2人気,62.1,410,197,0,0.0%,4.3%,4.3%,71.39,11.90,60.51
207,"Shelter Half",  1-  1-  1-  4/  7,14.3%,28.6%,42.9%,75,67,111.8,5.1着,5.0人気,24.0,530,157,0,0.0%,14.3%,14.3%,70.49,11.75,61.29
208,Bluebird,  1-  1-  1-  3/  6,16.7%,33.3%,50.0%,385,160,142.0,4.7着,4.5人気,12.4,2310,480,0,0.0%,16.7%,16.7%,70.62,11.77,61.18
209,Affirmed,  1-  1-  1- 21/ 24,4.2%,8.3%,12.5%,17,16,45.3,9.3着,8.3人気,65.6,420,195,0,0.0%,4.2%,4.2%,71.48,11.91,60.44
210,カーネギー,  1-  1-  1-  5/  8,12.5%,25.0%,37.5%,58,82,172.7,7.8着,8.3人気,62.1,470,220,0,0.0%,12.5%,12.5%,70.68,11.78,61.12
211,"General Assembly",  1-  1-  1-  5/  8,12.5%,25.0%,37.5%,31,32,70.1,7.0着,6.4人気,26.3,250,130,0,0.0%,12.5%,12.5%,71.15,11.86,60.72
212,"Royal Academy",  1-  1-  1-  3/  6,16.7%,33.3%,50.0%,273,196,313.7,7.2着,8.3人気,40.3,1640,393,0,0.0%,16.7%,16.7%,70.38,11.73,61.38
213,ヘネシー,  1-  1-  1-  2/  5,20.0%,40.0%,60.0%,56,126,115.8,5.6着,3.0人気,7.9,280,210,0,0.0%,20.0%,20.0%,70.42,11.74,61.35
214,Caesour,  1-  1-  1-  1/  4,25.0%,50.0%,75.0%,37,110,86.6,4.8着,3.5人気,6.2,150,147,0,0.0%,25.0%,25.0%,70.15,11.69,61.58
215,Roberto,  1-  1-  0- 12/ 14,7.1%,14.3%,14.3%,25,18,34.1,6.4着,4.7人気,37.2,350,130,0,0.0%,7.1%,0.0%,71.24,11.87,60.64
216,ノノアルコ,  1-  1-  0-  9/ 11,9.1%,18.2%,18.2%,105,50,139.3,6.4着,7.8人気,53.2,1160,280,0,0.0%,9.1%,0.0%,71.34,11.89,60.56
217,"Law Society",  1-  1-  0-  8/ 10,10.0%,20.0%,20.0%,423,122,76.8,5.9着,6.7人気,39.8,4230,610,0,0.0%,10.0%,0.0%,72.25,12.04,59.79
218,エタン,  1-  1-  0-  5/  7,14.3%,28.6%,28.6%,34,45,91.6,5.7着,5.1人気,16.7,240,160,0,0.0%,14.3%,0.0%,70.79,11.80,61.03
219,マンオブビイジヨン,  1-  1-  0-  4/  6,16.7%,33.3%,33.3%,21,48,65.5,6.5着,5.8人気,69.3,130,145,0,0.0%,16.7%,0.0%,71.25,11.88,60.63
220,トウシヨウルチエー,  1-  1-  0-  4/  6,16.7%,33.3%,33.3%,70,226,163.7,6.0着,6.5人気,41.6,420,680,0,0.0%,16.7%,0.0%,72.52,12.09,59.57
221,スプレンデイドモーメント,  1-  1-  0-  3/  5,20.0%,40.0%,40.0%,28,78,75.6,5.2着,4.4人気,15.7,140,195,0,0.0%,20.0%,0.0%,71.44,11.91,60.47
222,"Souvenir Copy",  1-  1-  0-  1/  3,33.3%,66.7%,66.7%,83,176,171.3,2.3着,3.7人気,8.3,250,265,0,0.0%,33.3%,0.0%,68.03,11.34,63.50
223,"Key to the Kingdom",  1-  1-  0-  1/  3,33.3%,66.7%,66.7%,110,123,138.7,2.3着,2.0人気,4.5,330,185,0,0.0%,33.3%,0.0%,70.80,11.80,61.02
224,ビシヨツプボブ,  1-  1-  0-  9/ 11,9.1%,18.2%,18.2%,453,119,171.0,8.7着,9.4人気,71.3,4990,655,0,0.0%,9.1%,0.0%,71.03,11.84,60.82
225,Alzao,  1-  1-  0-  8/ 10,10.0%,20.0%,20.0%,13,59,90.4,7.9着,8.5人気,64.4,130,295,0,0.0%,10.0%,0.0%,70.83,11.81,60.99
226,ロイヤルニジンスキー,  1-  1-  0-  7/  9,11.1%,22.2%,22.2%,22,27,71.5,7.8着,9.0人気,77.1,200,125,0,0.0%,11.1%,0.0%,71.20,11.87,60.67
227,ハンティングホーク,  1-  1-  0-  5/  7,14.3%,28.6%,28.6%,104,94,394.5,8.4着,10.4人気,94.0,730,330,0,0.0%,14.3%,0.0%,70.49,11.75,61.29
228,タバスコキャット,  1-  1-  0-  4/  6,16.7%,33.3%,33.3%,321,95,179.6,7.0着,6.8人気,19.6,1930,285,0,0.0%,16.7%,0.0%,70.17,11.69,61.57
229,Relaunch,  1-  1-  0-  3/  5,20.0%,40.0%,40.0%,30,52,97.6,6.4着,7.4人気,39.7,150,130,0,0.0%,20.0%,0.0%,71.20,11.87,60.67
230,カネミノブ,  1-  1-  0-  7/  9,11.1%,22.2%,22.2%,16,23,71.9,8.1着,7.1人気,45.9,150,105,0,0.0%,11.1%,0.0%,72.39,12.06,59.68
231,"Bold Forbes",  1-  1-  0-  5/  7,14.3%,28.6%,28.6%,17,42,59.8,7.0着,6.0人気,50.3,120,150,0,0.0%,14.3%,0.0%,71.50,11.92,60.42
232,"Ack Ack",  1-  1-  0-  2/  4,25.0%,50.0%,50.0%,70,60,90.2,5.3着,3.5人気,11.1,280,120,0,0.0%,25.0%,0.0%,70.25,11.71,61.49
233,"Red God",  1-  1-  0-  1/  3,33.3%,66.7%,66.7%,380,130,146.2,3.3着,2.3人気,6.1,1140,195,0,0.0%,33.3%,0.0%,70.27,11.71,61.48
234,トウホーカムリ,  1-  1-  0-  0/  2,50.0%,100.0%,100.0%,205,270,316.1,1.5着,4.5人気,9.0,410,270,0,0.0%,50.0%,0.0%,69.20,11.53,62.43
235,ダイナミツクリーダー,  1-  1-  0-  0/  2,50.0%,100.0%,100.0%,110,130,168.5,1.5着,2.5人気,4.7,220,130,0,0.0%,50.0%,0.0%,71.35,11.89,60.55
236,Danehill,  1-  0-  4- 12/ 17,5.9%,5.9%,29.4%,18,269,61.7,8.4着,7.9人気,42.1,310,916,0,0.0%,0.0%,23.5%,71.51,11.92,60.41
237,トウカイテイオー,  1-  0-  3-  9/ 13,7.7%,7.7%,30.8%,76,101,131.4,6.5着,6.9人気,60.5,990,330,0,0.0%,0.0%,23.1%,71.20,11.87,60.67
238,カウアイキング,  1-  0-  3-  3/  7,14.3%,14.3%,57.1%,35,157,71.3,4.6着,5.1人気,17.7,250,275,0,0.0%,0.0%,42.9%,71.03,11.84,60.82
239,Wassl,  1-  0-  3-  3/  7,14.3%,14.3%,57.1%,151,234,199.1,5.4着,8.9人気,58.8,1060,410,0,0.0%,0.0%,42.9%,71.17,11.86,60.70
240,ビゼンニシキ,  1-  0-  2- 12/ 15,6.7%,6.7%,20.0%,21,29,59.6,6.6着,6.1人気,39.3,320,147,0,0.0%,0.0%,13.3%,70.95,11.82,60.89
241,チヤイナロツク,  1-  0-  2- 10/ 13,7.7%,7.7%,23.1%,50,48,77.7,6.8着,5.8人気,42.6,660,315,0,0.0%,0.0%,15.4%,72.09,12.02,59.92
242,ステイゴールド,  1-  0-  2-  5/  8,12.5%,12.5%,37.5%,58,52,83.6,6.3着,4.9人気,34.4,470,140,0,0.0%,0.0%,25.0%,70.53,11.75,61.25
243,オグリキャップ,  1-  0-  2-  5/  8,12.5%,12.5%,37.5%,97,188,155.7,6.4着,6.1人気,24.3,780,503,0,0.0%,0.0%,25.0%,70.56,11.76,61.22
244,テンパレートシル,  1-  0-  2-  5/  8,12.5%,12.5%,37.5%,56,83,86.6,6.1着,5.6人気,62.8,450,223,0,0.0%,0.0%,25.0%,71.46,11.91,60.45
245,テユーダーペリオツド,  1-  0-  2-  1/  4,25.0%,25.0%,75.0%,110,150,163.1,4.0着,5.0人気,14.1,440,200,0,0.0%,0.0%,50.0%,70.63,11.77,61.17
246,パークリージエント,  1-  0-  1- 18/ 20,5.0%,5.0%,10.0%,32,22,82.6,8.4着,8.7人気,56.4,640,225,0,0.0%,0.0%,5.0%,70.72,11.79,61.09
247,"Polish Precedent",  1-  0-  1-  6/  8,12.5%,12.5%,25.0%,130,66,146.8,6.8着,7.3人気,37.2,1040,265,0,0.0%,0.0%,12.5%,71.48,11.91,60.44
248,"Phone Trick",  1-  0-  1-  6/  8,12.5%,12.5%,25.0%,23,47,93.4,5.9着,6.3人気,21.0,190,190,0,0.0%,0.0%,12.5%,70.56,11.76,61.22
249,"Cadeaux Genereux",  1-  0-  1-  7/  9,11.1%,11.1%,22.2%,33,30,90.6,8.1着,7.2人気,52.6,300,135,0,0.0%,0.0%,11.1%,71.07,11.84,60.79
250,Darshaan,  1-  0-  1- 16/ 18,5.6%,5.6%,11.1%,77,26,81.3,8.8着,8.0人気,39.6,1400,240,0,0.0%,0.0%,5.6%,70.80,11.80,61.02
251,デイカードレム,  1-  0-  1-  9/ 11,9.1%,9.1%,18.2%,264,80,112.8,5.8着,6.4人気,24.3,2910,440,0,0.0%,0.0%,9.1%,71.65,11.94,60.29
252,モンテプリンス,  1-  0-  1-  8/ 10,10.0%,10.0%,20.0%,13,183,96.2,7.3着,8.2人気,52.3,130,915,0,0.0%,0.0%,10.0%,72.14,12.02,59.88
253,キャプテンスティーヴ,  1-  0-  1-  3/  5,20.0%,20.0%,40.0%,112,64,178.3,5.6着,5.2人気,20.2,560,160,0,0.0%,0.0%,20.0%,70.74,11.79,61.07
254,ダイナマイトダディ,  1-  0-  1-  2/  4,25.0%,25.0%,50.0%,232,75,146.7,3.3着,5.3人気,52.7,930,150,0,0.0%,0.0%,25.0%,69.95,11.66,61.76
255,アグネスデジタル,  1-  0-  1-  4/  6,16.7%,16.7%,33.3%,445,71,368.7,7.2着,6.2人気,28.3,2670,215,0,0.0%,0.0%,16.7%,71.72,11.95,60.24
256,Habitat,  1-  0-  1-  4/  6,16.7%,16.7%,33.3%,123,75,160.0,6.8着,8.2人気,69.0,740,225,0,0.0%,0.0%,16.7%,71.22,11.87,60.66
257,クリスタルグリツターズ,  1-  0-  1- 26/ 28,3.6%,3.6%,7.1%,25,45,85.2,10.0着,9.7人気,101.5,720,640,0,0.0%,0.0%,3.6%,72.04,12.01,59.97
258,リンバアダンサー,  1-  0-  1-  5/  7,14.3%,14.3%,28.6%,235,100,157.2,7.9着,5.4人気,12.9,1650,350,0,0.0%,0.0%,14.3%,71.11,11.85,60.75
259,フサイチコンコルド,  1-  0-  1-  5/  7,14.3%,14.3%,28.6%,415,375,121.1,6.9着,7.1人気,39.4,2910,1315,0,0.0%,0.0%,14.3%,70.41,11.74,61.35
260,ネヴアーダンス,  1-  0-  1-  4/  6,16.7%,16.7%,33.3%,43,53,179.3,8.2着,8.5人気,113.5,260,160,0,0.0%,0.0%,16.7%,71.25,11.88,60.63
261,フロリバンダ,  1-  0-  1- 10/ 12,8.3%,8.3%,16.7%,608,75,128.5,8.4着,6.6人気,50.4,7300,455,0,0.0%,0.0%,8.3%,72.53,12.09,59.57
262,"Red Ransom",  1-  0-  1-  8/ 10,10.0%,10.0%,20.0%,80,61,122.6,8.8着,6.6人気,39.9,800,305,0,0.0%,0.0%,10.0%,71.21,11.87,60.67
263,マーベラスサンデー,  1-  0-  1-  6/  8,12.5%,12.5%,25.0%,47,46,169.5,8.8着,8.0人気,112.1,380,185,0,0.0%,0.0%,12.5%,71.34,11.89,60.56
264,"Gato Del Sol",  1-  0-  1-  3/  5,20.0%,20.0%,40.0%,116,96,148.4,5.8着,4.0人気,10.0,580,240,0,0.0%,0.0%,20.0%,71.22,11.87,60.66
265,ブライトフイニツシユ,  1-  0-  1-  2/  4,25.0%,25.0%,50.0%,175,137,371.0,6.0着,6.5人気,30.2,700,275,0,0.0%,0.0%,25.0%,71.20,11.87,60.67
266,Sagace,  1-  0-  1-  2/  4,25.0%,25.0%,50.0%,90,102,142.8,4.5着,3.3人気,7.0,360,205,0,0.0%,0.0%,25.0%,70.98,11.83,60.87
267,ホツトスパーク,  1-  0-  1-  1/  3,33.3%,33.3%,66.7%,166,150,371.8,3.3着,5.3人気,22.6,500,225,0,0.0%,0.0%,33.3%,70.10,11.68,61.63
268,Dominion,  1-  0-  1-  1/  3,33.3%,33.3%,66.7%,93,80,174.2,3.3着,4.0人気,8.2,280,240,0,0.0%,0.0%,33.3%,73.23,12.21,58.99
269,"Broad Brush",  1-  0-  1-  1/  3,33.3%,33.3%,66.7%,63,106,149.3,6.3着,6.3人気,76.1,190,160,0,0.0%,0.0%,33.3%,69.90,11.65,61.80
270,グリーンマウント,  1-  0-  1-  0/  2,50.0%,50.0%,100.0%,2805,700,1152.2,2.0着,9.5人気,35.3,5610,700,0,0.0%,0.0%,50.0%,70.70,11.78,61.10
271,Kirtling,  1-  0-  1-  0/  2,50.0%,50.0%,100.0%,260,130,168.8,2.0着,1.5人気,3.9,520,130,0,0.0%,0.0%,50.0%,70.90,11.82,60.93
272,ワツスルタツチ,  1-  0-  0- 12/ 13,7.7%,7.7%,7.7%,74,20,116.8,8.2着,8.2人気,59.0,970,270,0,0.0%,0.0%,0.0%,71.46,11.91,60.45
273,ノースオブザロー,  1-  0-  0-  4/  5,20.0%,20.0%,20.0%,96,44,202.2,4.6着,5.8人気,32.8,480,220,0,0.0%,0.0%,0.0%,70.18,11.70,61.56
274,スターオブコジーン,  1-  0-  0-  9/ 10,10.0%,10.0%,10.0%,46,17,187.4,7.6着,9.1人気,48.0,460,170,0,0.0%,0.0%,0.0%,70.62,11.77,61.17
275,ハンターコム,  1-  0-  0-  6/  7,14.3%,14.3%,14.3%,22,17,82.0,6.4着,7.3人気,34.1,160,120,0,0.0%,0.0%,0.0%,71.29,11.88,60.60
276,Singspiel,  1-  0-  0-  7/  8,12.5%,12.5%,12.5%,80,27,122.9,7.4着,6.3人気,26.8,640,220,0,0.0%,0.0%,0.0%,70.53,11.75,61.25
277,"Clever Trick",  1-  0-  0-  6/  7,14.3%,14.3%,14.3%,94,30,203.6,8.7着,7.7人気,46.0,660,210,0,0.0%,0.0%,0.0%,70.54,11.76,61.24
278,シングルロマン,  1-  0-  0-  3/  4,25.0%,25.0%,25.0%,205,57,393.8,4.3着,7.3人気,20.4,820,230,0,0.0%,0.0%,0.0%,70.58,11.76,61.21
279,シプリアニ,  1-  0-  0-  3/  4,25.0%,25.0%,25.0%,835,242,261.4,4.5着,6.3人気,20.4,3340,970,0,0.0%,0.0%,0.0%,72.43,12.07,59.65
280,ボイズイーボーイ,  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,76,40,176.6,4.0着,4.0人気,18.4,230,120,0,0.0%,0.0%,0.0%,71.57,11.93,60.36
281,Posse,  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,150,60,195.6,7.0着,5.0人気,13.0,450,180,0,0.0%,0.0%,0.0%,70.07,11.68,61.66
282,"Master Derby",  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,80,40,105.8,5.7着,2.7人気,6.0,240,120,0,0.0%,0.0%,0.0%,70.77,11.79,61.05
283,Ahonoora,  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,60,36,115.7,6.0着,2.0人気,5.6,180,110,0,0.0%,0.0%,0.0%,70.83,11.81,60.99
284,ダーリングデイスプレイ,  1-  0-  0-  1/  2,50.0%,50.0%,50.0%,910,180,1425.7,2.5着,9.0人気,42.0,1820,360,0,0.0%,0.0%,0.0%,72.00,12.00,60.00
