順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
381,ニチドウアラシ,  0-  1-  0-  9/ 10,0.0%,10.0%,10.0%,0,14,0.0,9.0着,8.8人気,84.9,,140,0,0.0%,10.0%,0.0%,72.00,12.00,60.00
382,Afleet,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,24,0.0,7.4着,2.0人気,5.7,,120,0,0.0%,20.0%,0.0%,71.16,11.86,60.71
383,レジエンドテイオー,  0-  1-  0-  6/  7,0.0%,14.3%,14.3%,0,35,0.0,5.4着,5.4人気,23.0,,250,0,0.0%,14.3%,0.0%,72.07,12.01,59.94
384,クリスタルパレス,  0-  1-  0-  9/ 10,0.0%,10.0%,10.0%,0,21,0.0,6.3着,6.4人気,23.7,,210,0,0.0%,10.0%,0.0%,72.38,12.06,59.68
385,サンシャック,  0-  1-  0-  6/  7,0.0%,14.3%,14.3%,0,138,0.0,7.7着,9.3人気,64.1,,970,0,0.0%,14.3%,0.0%,71.96,11.99,60.04
386,"Mr. Prospector",  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,52,0.0,6.2着,6.8人気,62.8,,260,0,0.0%,20.0%,0.0%,70.16,11.69,61.57
387,リユウズイシヨウ,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,52,0.0,4.5着,6.3人気,26.3,,210,0,0.0%,25.0%,0.0%,72.88,12.15,59.28
388,エルハーブ,  0-  1-  0-  8/  9,0.0%,11.1%,11.1%,0,22,0.0,9.3着,9.2人気,51.3,,200,0,0.0%,11.1%,0.0%,70.86,11.81,60.96
389,"Wild Again",  0-  1-  0-  8/  9,0.0%,11.1%,11.1%,0,28,0.0,9.7着,8.6人気,39.7,,260,0,0.0%,11.1%,0.0%,71.71,11.95,60.24
390,Songandaprayer,  0-  1-  0-  7/  8,0.0%,12.5%,12.5%,0,31,0.0,10.6着,8.0人気,101.6,,250,0,0.0%,12.5%,0.0%,70.30,11.72,61.45
391,アロングオール,  0-  1-  0-  6/  7,0.0%,14.3%,14.3%,0,31,0.0,8.1着,7.9人気,68.4,,220,0,0.0%,14.3%,0.0%,72.73,12.12,59.40
392,スズカフェニックス,  0-  1-  0-  5/  6,0.0%,16.7%,16.7%,0,30,0.0,8.0着,9.0人気,82.2,,180,0,0.0%,16.7%,0.0%,70.83,11.81,60.99
393,ノボジャック,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,38,0.0,7.8着,8.6人気,76.6,,190,0,0.0%,20.0%,0.0%,71.92,11.99,60.07
394,"Southern Halo",  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,42,0.0,8.2着,5.2人気,12.9,,210,0,0.0%,20.0%,0.0%,71.56,11.93,60.37
395,ネーハイシーザー,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,27,0.0,5.5着,6.8人気,35.2,,110,0,0.0%,25.0%,0.0%,70.88,11.81,60.95
396,"Spinning World",  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,105,0.0,7.8着,4.5人気,10.2,,420,0,0.0%,25.0%,0.0%,70.45,11.74,61.32
397,"Eastern Echo",  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,37,0.0,7.5着,4.5人気,10.8,,150,0,0.0%,25.0%,0.0%,70.45,11.74,61.32
398,"Elusive City",  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,210,0.0,6.0着,12.3人気,50.7,,630,0,0.0%,33.3%,0.0%,70.03,11.67,61.68
399,ジョリーズヘイロー,  0-  1-  0- 10/ 11,0.0%,9.1%,9.1%,0,76,0.0,10.2着,10.5人気,96.9,,840,0,0.0%,9.1%,0.0%,72.04,12.01,59.97
400,"Distorted Humor",  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,47,0.0,4.8着,2.3人気,5.4,,190,0,0.0%,25.0%,0.0%,71.20,11.87,60.67
401,プリンスオブバーズ,  0-  1-  0-  9/ 10,0.0%,10.0%,10.0%,0,23,0.0,8.2着,7.6人気,85.6,,230,0,0.0%,10.0%,0.0%,72.28,12.05,59.77
402,Cozzene,  0-  1-  0-  7/  8,0.0%,12.5%,12.5%,0,72,0.0,7.4着,9.0人気,37.0,,580,0,0.0%,12.5%,0.0%,71.34,11.89,60.56
403,"Tale of the Cat",  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,36,0.0,8.8着,5.0人気,10.3,,180,0,0.0%,20.0%,0.0%,70.64,11.77,61.16
404,ロサード,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,510,0.0,6.0着,10.0人気,70.6,,2040,0,0.0%,25.0%,0.0%,69.93,11.65,61.78
405,アラムシャー,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,335,0.0,5.0着,10.5人気,60.5,,1340,0,0.0%,25.0%,0.0%,70.63,11.77,61.17
406,リマンド,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,125,0.0,3.5着,2.5人気,5.9,,250,0,0.0%,50.0%,0.0%,70.50,11.75,61.28
407,ミオロベルティーノ,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,90,0.0,3.5着,4.5人気,11.6,,180,0,0.0%,50.0%,0.0%,71.10,11.85,60.76
408,フイリツプオブスペイン,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,135,0.0,3.5着,6.5人気,10.6,,270,0,0.0%,50.0%,0.0%,70.55,11.76,61.23
