UM12004020219781000291198003211980070919780330エリモプリンス　　　　　　　　　　　ｴﾘﾓﾌﾟﾘﾝｽ                                                                                        0                   03110411200243エリモオー　　　　　　　　　　　　　12211093エースプリンシパル　　　　　　　　　11300054Sir Ivor                            12107611インピユーデント　　　　　　　　　　11100931プリンシパルボーイ　　　　　　　　　12107875シルリアン　　　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11300522Owen Tudor                          12301137Saucy Lass                          11100928プリメラ　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100073タカクラヤマ　　　　　　　　　　　　12102030アサカゼ　　　　　　　　　　　　　　200125上田三千　　　　　　　　　　500404小林　良助　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　熊本県　　　　　　　603003山本　慎一　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781000321198003211980081119780418エースホワイト　　　　　　　　　　　ｴｰｽﾎﾜｲﾄ                                                                                         0                   03110411200243エリモオー　　　　　　　　　　　　　12211799ホワイトスネーク　　　　　　　　　　11300054Sir Ivor                            12107611インピユーデント　　　　　　　　　　11100806ニルコス　　　　　　　　　　　　　　12107338ハーバードウヤ　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11300522Owen Tudor                          12301137Saucy Lass                          11301148La Varende                          00000000　　　　　　　　　　　　　　　　　　11100565ラヴアンダン　　　　　　　　　　　　12103877ニシサン　　　　　　　　　　　　　　200125上田三千　　　　　　　　　　100404江藤　正幸　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　熊本県　　　　　　　101005増田　房二　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781057501198011271982030519780426エイシンプロン　　　　　　　　　　　ｴｲｼﾝﾌﾟﾛﾝ                            Eishin Pron(JPN)                                            0                   00110111200019プロント　　　　　　　　　　　　　　12201057テツハヤ　　　　　　　　　　　　　　11300129Prince Taj                          00000000　　　　　　　　　　　　　　　　　　11100457チヤイナロツク　　　　　　　　　　　12104105リユウコガネ　　　　　　　　　　　　11300554Prince Bio                          12401758Malindi                             00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300586Rockefella                          00000000　　　　　　　　　　　　　　　　　　11100263ヒンドスタン　　　　　　　　　　　　12101375エクストラーノ　　　　　　　　　　　200203須貝彦三　　　　　　　　　　430329前野　博幸　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　951005平井　豊光　　　　　　　　　　　　　　　　　　　　　　　　　　　000043500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781057541198004171981091319780619シンピロー　　　　　　　　　　　　　ｼﾝﾋﾟﾛｰ                              Shin Pillow(JPN)                                            0                   00110311100729オンリーフオアライフ　　　　　　　　12209729ソロナエビス　　　　　　　　　　　　11300269Chanteur                            00000000　　　　　　　　　　　　　　　　　　11100680タマナー　　　　　　　　　　　　　　12201282ソロナヒメ　　　　　　　　　　　　　11300995Chateau Bouscaut                    12401540La Diva                             00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300637Sunny Boy                           00000000　　　　　　　　　　　　　　　　　　11100361ソロナウエー　　　　　　　　　　　　12105206ヴイキユニア　　　　　　　　　　　　200269二分久男　　　　　　　　　　200329槇本牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　788004林　幸雄　　　　　　　　　　　　　　　　　　　　　　　　　　　　000234900000000000000001078000000000000067000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781057551198010231981050219780512シンビルキング　　　　　　　　　　　ｼﾝﾋﾞﾙｷﾝｸﾞ                           Shin Bill King(JPN)                                         0                   03110411200322タニノチカラ　　　　　　　　　　　　12205952テユーダーベンチ　　　　　　　　　　11100796ブランブルー　　　　　　　　　　　　12104612タニノチエリ　　　　　　　　　　　　11100833キングスベンチ　　　　　　　　　　　12107512テユーダークイン　　　　　　　　　　11300437Klairon                             00000000　　　　　　　　　　　　　　　　　　11100458テイエポロ　　　　　　　　　　　　　12101238シーマン　　　　　　　　　　　　　　11300296Court Martial                       00000000　　　　　　　　　　　　　　　　　　11100501テユーダーペリオツド　　　　　　　　12103394ボストホマレ　　　　　　　　　　　　200269二分久男　　　　　　　　　　200329槇本牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　788004林　幸雄　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781057591198004171984112219780419アグネスダンディ　　　　　　　　　　ｱｸﾞﾈｽﾀﾞﾝﾃﾞｨ                         Agnes Dandy(JPN)                                            0                   03110311200322タニノチカラ　　　　　　　　　　　　12104037ミスホツカイ　　　　　　　　　　　　11100796ブランブルー　　　　　　　　　　　　12104612タニノチエリ　　　　　　　　　　　　11100056リンボー　　　　　　　　　　　　　　12101856スサカヒメ　　　　　　　　　　　　　11300437Klairon                             00000000　　　　　　　　　　　　　　　　　　11100458テイエポロ　　　　　　　　　　　　　12101238シーマン　　　　　　　　　　　　　　11300703War Admiral                         00000000　　　　　　　　　　　　　　　　　　11100010トシシロ　　　　　　　　　　　　　　12100931フルハタ　　　　　　　　　　　　　　200269二分久男　　　　　　　　　　200329槇本牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　021005渡辺　孝男　　　　　　　　　　　　　　　　　　　　　　　　　　　000303500000000000000002550000000000000074500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781058181198002291981091219780414ビザンランド　　　　　　　　　　　　ﾋﾞｻﾞﾝﾗﾝﾄﾞ                           Bizan Land(JPN)                                             0                   00110311200287リツチボーイ　　　　　　　　　　　　12108497クリミカサ　　　　　　　　　　　　　11300558Princely Gift                       00000000　　　　　　　　　　　　　　　　　　11100575ダラノーア　　　　　　　　　　　　　12103235ミラマーレ　　　　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300637Sunny Boy                           00000000　　　　　　　　　　　　　　　　　　11300532Penny Post                          12300820Misera                              200329山本正司　　　　　　　　　　100328ヤナガワ牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　119009平島　尚武　　　　　　　　　　　　　　　　　　　　　　　　　　　000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781058191198002291983060819780324ヘイアンパレス　　　　　　　　　　　ﾍｲｱﾝﾊﾟﾚｽ                            Heian Palace(JPN)                                           0                   00110311200282トライバルチーフ　　　　　　　　　　12201990クリレモン　　　　　　　　　　　　　11300558Princely Gift                       00000000　　　　　　　　　　　　　　　　　　11100728インデイアナ　　　　　　　　　　　　12106673クリミナト　　　　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300603Sayajirao                           00000000　　　　　　　　　　　　　　　　　　11100082クリノハナ　　　　　　　　　　　　　12100724ケンタツキー　　　　　　　　　　　　100194柴田寛　　　　　　　　　　　100328ヤナガワ牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　576009荻原　昭二　　　　　　　　　　　　　　　　　　　　　　　　　　　000102400000091600000000000000000000000054500000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781058221198002261984041819780317メイショウタイガー　　　　　　　　　ﾒｲｼｮｳﾀｲｶﾞｰ                          Meisho Tiger(JPN)                                           0                   00110311200228レボウ　　　　　　　　　　　　　　　12210254ハードユキ　　　　　　　　　　　　　11300558Princely Gift                       00000000　　　　　　　　　　　　　　　　　　11100800ハードリドン　　　　　　　　　　　　12103833嶋丘　　　　　　　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300105Hard Sauce                          00000000　　　　　　　　　　　　　　　　　　11100079ライジングフレーム　　　　　　　　　12100956クモタヘ　　　　　　　　　　　　　　200217高橋直　　　　　　　　　　　100328ヤナガワ牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　523005松本　好雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000034500000667050000000000000000318000034500000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781058391198010031983061719780425アサクサリッチ　　　　　　　　　　　ｱｻｸｻﾘｯﾁ                             Asakusa Rich(JPN)                                           0                   04110111200287リツチボーイ　　　　　　　　　　　　12208234カネスイート　　　　　　　　　　　　11300558Princely Gift                       00000000　　　　　　　　　　　　　　　　　　11100680タマナー　　　　　　　　　　　　　　12108168トキタイム　　　　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300637Sunny Boy                           00000000　　　　　　　　　　　　　　　　　　11100091ゲイタイム　　　　　　　　　　　　　12101841キミオー　　　　　　　　　　　　　　200250内藤繁春　　　　　　　　　　500363優駿牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　275005田原　源一郎　　　　　　　　　　　　　　　　　　　　　　　　　　000229800000802000000000000000000924000137000000155000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781058411198010031981120719780529ケンリユパレード　　　　　　　　　　ｹﾝﾘﾕﾊﾟﾚｰﾄﾞ                          Kenryu Parade(JPN)                                          0                   00110411200298クレバーフエラ　　　　　　　　　　　12201469キタマツチ　　　　　　　　　　　　　11300168Le Levanstell                       00000000　　　　　　　　　　　　　　　　　　11100575ダラノーア　　　　　　　　　　　　　12103673ヤヨイヒメ　　　　　　　　　　　　　11301188Le Lavandou                         12402766Stella's Sister                     00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300637Sunny Boy                           00000000　　　　　　　　　　　　　　　　　　11100249ボストニアン　　　　　　　　　　　　12101772カツラギヒカリ　　　　　　　　　　　200250内藤繁春　　　　　　　　　　500363優駿牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　655004北川　末次　　　　　　　　　　　　　　　　　　　　　　　　　　　000008000000050700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781058501198010031984072719780328ホワイトマサル　　　　　　　　　　　ﾎﾜｲﾄﾏｻﾙ                             White Masaru(JPN)                                           0                   00110311200352ハーデイカヌート　　　　　　　　　　12205656ハツピーコガネ　　　　　　　　　　　11100800ハードリドン　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100533ダイハード　　　　　　　　　　　　　12102439ハツピーオウメン　　　　　　　　　　11300105Hard Sauce                          00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300100Never Say Die                       00000000　　　　　　　　　　　　　　　　　　11100248ハクリヨウ　　　　　　　　　　　　　12101483マルトオー　　　　　　　　　　　　　200250内藤繁春　　　　　　　　　　500363優駿牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　482001鈴木　理恵　　　　　　　　　　　　　　　　　　　　　　　　　　　000154200000831000000000114000000178000191000000313000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781058541198010231981101519780314レッドカウント　　　　　　　　　　　ﾚｯﾄﾞｶｳﾝﾄ                            Red Count(JPN)                                              0                   03110311200169レツドイーグル　　　　　　　　　　　12206965レツドセト　　　　　　　　　　　　　11100730サウンドトラツク　　　　　　　　　　12105220ビースケツプ　　　　　　　　　　　　11100736バリメライス　　　　　　　　　　　　12103979スーパーポンド　　　　　　　　　　　11300709Whistler                            00000000　　　　　　　　　　　　　　　　　　11300413Honeyway                            12301324Trent Bridge                        11300113Ballymoss                           00000000　　　　　　　　　　　　　　　　　　11100079ライジングフレーム　　　　　　　　　12101182トミカツラ　　　　　　　　　　　　　100207鈴木清　　　　　　　　　　　500363優駿牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　335800千屋レッド　　　　　　　　　　　　　　　　　　　　　　　　　　　000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781058611198007181981121819780527ローベルヒリュウ　　　　　　　　　　ﾛｰﾍﾞﾙﾋﾘｭｳ                           Rovel Hiryu(JPN)                                            0                   00110311200087アステツク　　　　　　　　　　　　　12107942コウメイ　　　　　　　　　　　　　　11300129Prince Taj                          00000000　　　　　　　　　　　　　　　　　　11100331カバーラツプ二世　　　　　　　　　　12102961タイカン　　　　　　　　　　　　　　11300554Prince Bio                          12401758Malindi                             00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300297Cover Up                            00000000　　　　　　　　　　　　　　　　　　11100253トシハヤ　　　　　　　　　　　　　　12100896フクニシキ　　　　　　　　　　　　　200261中村均　　　　　　　　　　　500361ローベル牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　248004細川　栄市　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781058621198010171982051919780515ローベルジャック　　　　　　　　　　ﾛｰﾍﾞﾙｼﾞｬｯｸ                          Rovel Jack(JPN)                                             0                   00110311100960リマンド　　　　　　　　　　　　　　12108104ソラコ　　　　　　　　　　　　　　　11300010Alcide                              00000000　　　　　　　　　　　　　　　　　　11100458テイエポロ　　　　　　　　　　　　　12101576ミスリラ　　　　　　　　　　　　　　11300197Alycidon                            12300289Chenille                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300241Blue Peter                          00000000　　　　　　　　　　　　　　　　　　11100049ホウシユウ　　　　　　　　　　　　　12100468ユリカ　　　　　　　　　　　　　　　200234田中良平　　　　　　　　　　500361ローベル牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　248004細川　栄市　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781058661198012191982040419780528ローベルシーザー　　　　　　　　　　ﾛｰﾍﾞﾙｼｰｻﾞｰ                          Rovel Caesar(JPN)                                           0                   00110411200295ムーリン　　　　　　　　　　　　　　12205976ローベルソジア　　　　　　　　　　　11300030Kashmir                             00000000　　　　　　　　　　　　　　　　　　11100623ジヤヴリン　　　　　　　　　　　　　12108104ソラコ　　　　　　　　　　　　　　　11300090Tudor Melody                        12402348Queen of Speed                      00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300684Tulyar                              00000000　　　　　　　　　　　　　　　　　　11100458テイエポロ　　　　　　　　　　　　　12101576ミスリラ　　　　　　　　　　　　　　200191鹿戸幸治　　　　　　　　　　500361ローベル牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　248004細川　栄市　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781058681198011271980122019780504ローベルヒーロー　　　　　　　　　　ﾛｰﾍﾞﾙﾋｰﾛｰ                                                                                       0                   00110411100800ハードリドン　　　　　　　　　　　　12211246ローベルパレス　　　　　　　　　　　11300105Hard Sauce                          00000000　　　　　　　　　　　　　　　　　　11100936ヴエンチア　　　　　　　　　　　　　12105288リシーヴイングオーダー　　　　　　　11300211Ardan                               12402550Saucy Bella                         00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300172Relic                               00000000　　　　　　　　　　　　　　　　　　11300537Petition                            12300047Money to Burn                       200185佐藤勇　　　　　　　　　　　500361ローベル牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　248004細川　栄市　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781058701198005091981112519780228ローベルリッチ　　　　　　　　　　　ﾛｰﾍﾞﾙﾘｯﾁ                            Rovel Rich(JPN)                                             0                   00110311200223アイリツシユボール　　　　　　　　　12204434ローベルヒスイ　　　　　　　　　　　11200134ボールドリツク　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100730サウンドトラツク　　　　　　　　　　12101525ヒスイ　　　　　　　　　　　　　　　11300158Round Table                         00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300709Whistler                            00000000　　　　　　　　　　　　　　　　　　11100002プリメロ　　　　　　　　　　　　　　12100640城猛　　　　　　　　　　　　　　　　200140大根田裕　　　　　　　　　　500361ローベル牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　248004細川　栄市　　　　　　　　　　　　　　　　　　　　　　　　　　　000007500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781058921198007181981040319780421コートーイチ　　　　　　　　　　　　ｺｰﾄｰｲﾁ                              Koto Ichi(JPN)                                              0                   00110111200074スカイマスター　　　　　　　　　　　12211518コートウグリン　　　　　　　　　　　11300386Golden Cloud                        00000000　　　　　　　　　　　　　　　　　　11200014ロイヤルタタン　　　　　　　　　　　12106119オルロフ　　　　　　　　　　　　　　11301126Gold Bridge                         12402371Rainstorm                           00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300650Tatan                               00000000　　　　　　　　　　　　　　　　　　11100091ゲイタイム　　　　　　　　　　　　　12102498タケチカラ　　　　　　　　　　　　　100171小西喜蔵　　　　　　　　　　700044市川　定男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　浦河町　　　　　　　921005小林　昭治　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781059001198005271981060419780517マルカシンゲン　　　　　　　　　　　ﾏﾙｶｼﾝｹﾞﾝ                            Maruka Shingen(JPN)                                         0                   01110311101030ヒツテイングアウエー　　　　　　　　12105518スリーハイスピード　　　　　　　　　11300200Ambiorix                            00000000　　　　　　　　　　　　　　　　　　11100449ゴールドアロー　　　　　　　　　　　12101806シゲアズマ　　　　　　　　　　　　　11301098Tourbillon                          12401637Lavendula                           00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300651Tehran                              12100783ニイアンドリア　　　　　　　　　　　11100189アヅマホマレ　　　　　　　　　　　　12100308アサヤマ　　　　　　　　　　　　　　200250内藤繁春　　　　　　　　　　300045市川　豊　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　浦河町　　　　　　　401800河長産業　　　　　　　　　　　　　　　　　　　　　　　　　　　　000036900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781059031198005091985010719780511コウエイビッグ　　　　　　　　　　　ｺｳｴｲﾋﾞｯｸﾞ                           Koei Big(JPN)                                               0                   00110311200347ハードツービート　　　　　　　　　　12108847ラブメア　　　　　　　　　　　　　　11200352ハーデイカヌート　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100620フイリユース　　　　　　　　　　　　12104695ミホノフレーム　　　　　　　　　　　11100800ハードリドン　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300539Pharis                              00000000　　　　　　　　　　　　　　　　　　11100079ライジングフレーム　　　　　　　　　12102286第三愛田　　　　　　　　　　　　　　200269二分久男　　　　　　　　　　300045市川　豊　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　浦河町　　　　　　　369004西岡　静男　　　　　　　　　　　　　　　　　　　　　　　　　　　000551400000000000000002690000000000000121000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781059041198004011982051019780329トウメイエース　　　　　　　　　　　ﾄｳﾒｲｴｰｽ                             Tomei Ace(JPN)                                              0                   00110311200138シーホーク　　　　　　　　　　　　　12200408ロマーナターフ　　　　　　　　　　　11300405Herbager                            00000000　　　　　　　　　　　　　　　　　　11100629セダン　　　　　　　　　　　　　　　12103942キヤツチハー　　　　　　　　　　　　11300018Vandale                             12401038Flagette                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300554Prince Bio                          00000000　　　　　　　　　　　　　　　　　　11300487Mr. Busher                          12300250Busy Whirl                          200221武宏平　　　　　　　　　　　300045市川　豊　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　浦河町　　　　　　　603001金田　煕明　　　　　　　　　　　　　　　　　　　　　　　　　　　000062400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
