03143401
7,カンタベリーナイト,148.54,23.9,40.5,99
8,ダービーフィズ,146.70,76.9,48.3,110
05144709
1,ダイワエキスパート,81.96,55.9,47.1,112
2,キモンイーグル,83.65,13.8,50.1,0
3,プレッツェル,82.36,35.5,53.7,0
4,スペチアーレ,82.63,57.0,52.5,109
5,ニシノラッシュ,81.55,80.7,48.6,135
6,アンブリカル,82.03,58.8,51.8,124
7,カゼノトビラ,83.39,48.4,50.4,99
8,ロンバルディア,82.18,59.9,50.8,108
9,スミレタンポポ,82.35,38.3,45.4,96
10,ヨイチナデシコ,82.29,37.9,47.0,102
11,デュアルメジャー,82.19,58.5,50.0,111
12,アポロノシンザン,82.10,49.3,52.1,110
13,ジャストサウンド,83.34,55.6,50.5,99
05144710
1,ショウナンバーキン,107.53,53.9,53.7,110
2,マイネルディーン,107.77,66.8,49.5,114
3,ヒュウマ,107.14,56.1,48.4,123
4,サトノフェラーリ,106.44,61.3,57.3,117
5,セキショウ,107.26,39.2,49.0,112
6,トーセンアルニカ,107.11,47.5,53.5,113
7,キッズニゴウハン,107.92,20.6,45.3,116
8,モンストール,108.05,24.8,48.0,99
9,ファントムライト,107.51,77.3,48.4,125
10,ミエノワンダー,107.39,52.1,46.9,116
05144711
1,マルカプレジオ,132.39,46.4,50.4,99
2,ヴォーグトルネード,130.95,74.2,51.0,117
3,マイネルバイカ,131.76,54.9,45.7,107
4,ツクバコガネオー,132.04,50.6,56.2,105
5,ノースショアビーチ,132.67,39.8,47.2,124
6,ナイトフッド,132.90,41.7,47.2,102
7,マスクトヒーロー,132.99,35.5,47.1,131
8,イッシンドウタイ,132.98,31.6,53.4,103
9,ファイヤー,132.71,59.0,47.9,105
10,ヒラボクマジック,132.58,45.2,49.1,114
11,クリノヒマラヤオー,131.89,60.1,54.5,112
12,ランウェイワルツ,131.53,60.5,50.2,119
05144712
1,ゴールデンスピン,98.35,60.9,49.2,102
2,ダンディーレイ,98.67,43.7,46.8,103
3,サンリットレイク,98.12,48.8,51.3,102
4,タイキソレイユ,99.13,45.4,46.1,91
5,ニットウビクトリー,98.38,49.4,47.7,110
6,アルファアリエス,98.34,49.8,46.6,114
7,ニシノゲンキマル,98.79,38.7,47.5,110
8,シグナルプロシード,97.59,80.3,54.1,125
9,ウォーシップマーチ,98.86,43.3,53.1,113
10,ヴァルディヴィア,99.81,20.3,50.5,88
11,チャンスメイク,98.59,55.7,51.7,91
12,バーディーイーグル,97.70,63.1,55.2,112
08144701
1,ヒラボククラウン,73.40,74.0,60.5,121
2,ニホンピロヘーラー,73.91,58.9,52.7,99
3,メイショウクオン,74.07,58.1,46.8,101
4,ローズウィップ,75.16,33.1,49.8,81
5,ナムラジョフレ,74.27,62.0,55.0,107
6,タマモスマッシュ,74.64,30.2,56.0,90
7,セイユニコーン,75.38,24.5,50.1,89
8,オイルタウン,74.55,45.0,51.4,101
9,ウインドファースト,74.31,36.8,45.3,89
10,マイネルジャスト,74.48,44.1,51.5,104
11,ミツバ,74.22,54.2,49.7,104
12,タカノロンシャン,74.60,45.1,43.2,97
13,デンコウコハク,74.85,42.5,46.2,88
14,アカリアイドル,73.71,69.2,47.1,123
15,フィドゥーシア,73.30,71.5,44.6,128
08144702
1,グレイスミノル,83.00,40.1,47.3,98
2,アグリナンバーワン,82.92,45.1,45.5,97
3,パイアタウン,82.63,31.7,53.3,93
4,ウォーターメアヌイ,83.02,31.2,54.1,94
5,サンフレイム,82.90,36.0,48.0,102
6,ノースファンタジー,82.72,62.0,54.1,103
7,ニューエディション,82.19,81.3,58.9,119
8,グランディフローラ,82.31,75.8,50.7,126
9,ビットレート,82.20,80.9,51.9,122
10,エアルナ,82.93,34.4,48.8,104
11,マヤジョワイユ,82.98,32.7,43.8,88
12,メイショウミソラ,82.42,56.4,50.5,105
13,スキースクール,82.44,59.2,47.5,106
14,ボーベルレーヌ,82.94,32.4,45.6,105
08144703
1,マツリダアンバター,95.37,25.0,46.7,91
2,イチザサムライ,95.18,49.5,52.5,110
3,メイショウワカアユ,94.86,62.4,48.9,116
4,オデッタ,94.60,58.8,58.0,108
5,コウエイサムライ,94.66,50.1,49.1,98
6,ヴェルステルキング,94.28,71.8,56.4,114
7,センターピース,94.57,68.0,57.5,116
8,アイファーサンディ,95.14,37.7,49.9,105
9,アッシュゴールド,94.84,44.0,47.9,108
10,ラスキーヌ,94.83,29.1,51.0,88
11,ダンシング,95.16,66.5,43.9,113
12,ブライトボイス,94.91,60.0,50.5,114
13,トウケイリニア,95.26,37.4,51.1,101
14,ワールドカップ,96.36,14.6,34.4,87
15,ディファースト,94.87,64.3,50.0,105
16,ノスタルジー,94.73,60.4,52.4,110
08144704
1,シゲルナマハゲ,88.12,50.8,46.3,
2,モズフリムカナイデ,88.13,50.0,51.2,
3,ショウナンカウィー,87.57,47.4,52.8,
4,セイジャッカル,87.82,51.7,46.8,
